id,name,jl_number,longitude,latitude,ac_id
35934,Pratappur,127,87.30285579999996,23.4707709,929
35958,Kantabani,14,87.16036489999998,23.3589526,929
35965,Rautara,21,86.66362690000003,22.8264226,925
35988,Chalka,44,86.76803220000002,23.1573184,924
35996,Patpur,52,87.06117720000002,23.2314562,928
36001,Pabra,57,87.0299433,23.535714,923
36071,Sankra,125,86.92610079999999,23.1217929,924
36092,Rudra,10,86.73660819999998,22.9023154,925
36120,Suarua,39,87.17656459999998,23.3830395,929
36141,Sihika,60,86.87597609999997,23.3944509,924
36146,Rautara,65,86.66362690000003,22.8264226,925
36150,Jamkuri,69,87.4950586,23.166029100000006,933
36154,Saldiha,73,86.8088531,23.1707886,924
36194,Jamkanali,113,86.9699172,22.8860825,926
36201,Murlu,120,86.90731009999998,23.5244171,923
36210,Jinamanipur,129,86.8546573,23.395512300000004,924
36219,Haridi,138,86.82956449999998,23.2582068,924
36220,Pabra,139,87.0299433,23.535714,923
36226,Kalapathar,145,86.8897655,22.9023968,926
36237,Dhatla,156,86.85842020000003,23.408969,924
36241,Patpur,160,87.06117720000002,23.2314562,928
36254,Gopalpur(173),173,86.7491802,23.113801,925
36273,Chaka,192,86.92484830000002,22.9685413,925
36304,Dumurhir,11,87.1054941,23.4620457,923
36313,Dhanara,20,86.9849308,22.7375562,926
36334,Kharbana,41,86.92860560000004,23.3419578,924
36352,Haridi,59,86.82956449999998,23.2582068,924
36359,Paharbera,66,86.93987589999998,23.587492,923
36395,Ranpur,102,87.42447,23.2973047,934
36396,Murgabani,103,86.87597609999997,23.3557914,924
36410,Radhamadhabpur,117,87.43438359999998,23.0117904,932
36430,Sashpur,11,87.67044200000002,23.1121585,933
36476,Chhatapathar,57,87.0149438,23.4819063,923
36497,Ghutgarhia,78,87.25437020000003,23.4387002,929
36501,Sadhushaltorha,82,87.04917009999998,23.4774038,923
36512,Kalipahari,93,86.8747223,23.4315964,924
36791,Jaypur,21,87.44801149999998,23.0551658,932
36833,Khelia,63,86.81450249999996,22.8890107,925
36838,Durlavpur,68,87.12763709999999,23.473976800000006,923
36904,Joypur,85,87.44801149999998,23.0551658,932
36924,Nolkura,105,87.07860440000002,23.2324146,928
36925,Bishnupur,106,87.31652220000002,23.0678795,931
36969,Konra,27,87.1129802,23.3863457,929
37178,Rautara,110,86.66362690000003,22.8264226,925
37262,Kumardanga,22,87.2023246,23.1508256,930
37313,Khosdelpur,90,87.5432941,23.2456428,934
37377,Bishnupur,44,87.31652220000002,23.0678795,931
37645,Bishnupur,81,87.31652220000002,23.0678795,931
37670,Joypur,106,87.44801149999998,23.0551658,932
37677,Tapamirjapur,42,87.594894,23.016274,932
37748,Bishnupur,3,87.31652220000002,23.0678795,931
37793,Bagpukur,53,87.6379676,23.0100495,933
37822,Talberiya,8,86.672591,22.8338411,925
37900,Khantra,88,86.8546573,22.9731219,925
38019,Bishpur,83,87.31652220000002,23.0678795,931
38081,Tentul Beriya,53,86.95802809999998,23.3774744,924
38227,Bikrampur,4,87.1497698,23.169115100000006,930
38263,Rautara,40,86.66362690000003,22.8264226,925
38330,Jaypur,107,87.44801149999998,23.0551658,932
38343,Dharmapur,120,87.45172749999998,23.1430189,933
38500,Dharmapur,20,87.45172749999998,23.1430189,933
38502,Jaleswar,22,87.1410427,22.9056057,927
38529,Ganti,49,87.59147899999998,23.015734,932
38568,Bishnupur,88,87.31652220000002,23.0678795,931
38875,Jaypur,70,87.44801149999998,23.0551658,932
38885,Bishnupur,30,87.31652220000002,23.0678795,931
39001,Nandabhanga,42,87.2593454,23.1770013,930
39013,Dharmapur,55,87.45172749999998,23.1430189,933
39356,Adilpur,52,87.7160302,23.1143097,933
39415,Kamalpur,40,86.84650359999998,23.3009283,924
39507,Chak Krishnanagar,18,87.1597417,23.1216887,930
39523,Sonamukhi,34,87.4157938,23.3075757,934
39564,Panchur,203,86.95364719999998,22.8515495,926
39631,Danga,64,86.8747223,23.1758217,924
39715,Kalidaspur,39,87.0449381,23.5835701,923
39796,Kamalpur,161,86.84650359999998,23.3009283,924
39808,Hajrabandh,173,87.5160906,23.138089,933
39850,Ashurali,40,87.51237970000004,22.996658,932
39968,Shrikrishna Nagar,67,87.5432941,23.2188619,934
40071,Kamalpur,83,86.84650359999998,23.3009283,924
40156,Jaypur,55,87.44801149999998,23.0551658,932
40276,Durlavpur,73,87.12763709999999,23.473976800000006,923
40418,Hati Rampur,68,86.87785579999998,23.061901100000004,925
40627,Bishnupur,58,87.31652220000002,23.0678795,931
40708,Chaka,50,86.92484830000002,22.9685413,925
40739,Talanda,81,87.26929419999998,23.3140295,929
40814,Kamalpur,25,86.84650359999998,23.3009283,924
40823,Bishnupur,34,87.31652220000002,23.0678795,931
40883,Dharmapur,49,87.45172749999998,23.1430189,933
40904,Palashdanga,70,87.38851509999998,23.3993469,934
40941,Mongalpur,107,87.68030279999998,23.0706329,933
40960,Chak Ismail,126,87.5655396,22.9245494,932
